artist_names,track_name,source,peak_rank,weeks_on_chart,streams
Jenny Johal,0008,Sidhu Moose Wala,111,3,1651890
Sidhu Moose Wala,0008,Sidhu Moose Wala,111,3,1651890
The Kidd,0008,Sidhu Moose Wala,111,3,1651890
Chahal Saab,2 Khatole,Tuffan Music,179,11,2955361
Manjeet Mor,2 Khatole,Tuffan Music,179,11,2955361
Masoom Sharma,2 Khatole,Tuffan Music,179,11,2955361
Vikash Rajana,2 Khatole,Tuffan Music,179,11,2955361
Masoom Sharma,2 Khatole (Lofi Mix),Tuffan Music,168,32,3048474
Masoom Sharma,4 5 Pistol,GSC Music,128,1,1467775
Swara Verma,4 5 Pistol,GSC Music,128,1,1467775
Karan Aujla,48 Rhymes,WM Canada,168,3,1465459
Manna Music,48 Rhymes,WM Canada,168,3,1465459
Ikky,52 Bars,Rehaan Records,12,61,1755105
Karan Aujla,52 Bars,Rehaan Records,12,61,1755105
Ikky,7.7 Magnitude,WM Canada,115,2,1698132
Karan Aujla,7.7 Magnitude,WM Canada,115,2,1698132
Jay Trak,9:45,Prabh Singh Official,9,81,1358525
Prabh Singh,9:45,Prabh Singh Official,9,81,1358525
Rooh Sandhu,9:45,Prabh Singh Official,9,81,1358525
Rusha & Blizza,AANKH,Warner Music India,112,13,1934635
Sunidhi Chauhan,AANKH,Warner Music India,112,13,1934635
Karan Aujla,ANTIDOTE,Karan Aujla/Rehaan Records,32,34,1481175
Bruno Mars,APT.,Atlantic Records,13,24,3414531
ROSÉ,APT.,Atlantic Records,13,24,3414531
Gurjit Gill,AZUL,Warner Music India,67,13,4908649
Guru Randhawa,AZUL,Warner Music India,67,13,4908649
Lavish Dhiman,AZUL,Warner Music India,67,13,4908649
Atif Aslam,"Aadat - From ""Kalyug""",Vishesh Films,137,16,1499798
Jal,"Aadat - From ""Kalyug""",Vishesh Films,137,16,1499798
Mithoon,"Aadat - From ""Kalyug""",Vishesh Films,137,16,1499798
Vishal Mishra,Aaj Bhi 2,Universal Music India Pvt Ltd.,110,12,1217430
Amitabh Bhattacharya,"Aaj Ki Raat (From ""Stree 2"")",Saregama India Ltd,1,67,4404628
Divya Kumar,"Aaj Ki Raat (From ""Stree 2"")",Saregama India Ltd,1,67,4404628
Madhubanti Bagchi,"Aaj Ki Raat (From ""Stree 2"")",Saregama India Ltd,1,67,4404628
Sachin-Jigar,"Aaj Ki Raat (From ""Stree 2"")",Saregama India Ltd,1,67,4404628
Desi Crew,Aam Jahe Munde,Parmish Verma Films,20,79,1409248
PARDHAAN,Aam Jahe Munde,Parmish Verma Films,20,79,1409248
Parmish Verma,Aam Jahe Munde,Parmish Verma Films,20,79,1409248
Sai Abhyankkar,"Aasa Kooda - From ""Think Indie""",Think Music,3,70,1943558
Sai Smriti,"Aasa Kooda - From ""Think Indie""",Think Music,3,70,1943558
Altamash Faridi,Aashiq Tera,Sony Music / EROS Music,153,35,2799790
Sohail Sen,Aashiq Tera,Sony Music / EROS Music,153,35,2799790
Amitabh Bhattacharya,Aavan Jaavan,YRF Music,8,14,3926802
Arijit Singh,Aavan Jaavan,YRF Music,8,14,3926802
