track_name,source,peak_rank,weeks_on_chart,streams
0008,Sidhu Moose Wala,111,3,1651890
2 Khatole,Tuffan Music,179,11,2955361
2 Khatole (Lofi Mix),Tuffan Music,168,32,3048474
4 5 Pistol,GSC Music,128,1,1467775
48 Rhymes,WM Canada,168,3,1465459
52 Bars,Rehaan Records,12,61,1755105
7.7 Magnitude,WM Canada,115,2,1698132
9:45,Prabh Singh Official,9,81,1358525
AANKH,Warner Music India,112,13,1934635
ANTIDOTE,Karan Aujla/Rehaan Records,32,34,1481175
APT.,Atlantic Records,13,24,3414531
AZUL,Warner Music India,67,13,4908649
"Aadat - From ""Kalyug""",Vishesh Films,137,16,1499798
Aaj Bhi 2,Universal Music India Pvt Ltd.,110,12,1217430
"Aaj Ki Raat (From ""Stree 2"")",Saregama India Ltd,1,67,4404628
Aam Jahe Munde,Parmish Verma Films,20,79,1409248
"Aasa Kooda - From ""Think Indie""",Think Music,3,70,1943558
Aashiq Tera,Sony Music / EROS Music,153,35,2799790
Aavan Jaavan,YRF Music,8,14,3926802
"Aavan Jaavan (From ""WAR 2"")",YRF Music,26,2,5740866
Aaye Haaye (Feat. Nora Fatehi),T-Series,32,11,2567913
"Aayi Nai (From ""Stree 2"")",Saregama India Ltd,2,65,2786079
Admirin' You (feat. Preston Pablo),WM Canada,24,118,2007127
Ae Dil Hai Mushkil Title Track,Sony Music Entertainment India Pvt. Ltd.,79,301,2202046
Afsos,"Universal Music India Pvt. Ltd. (on behalf of Anuv Jain, AP DHILLON INC/Republic Records)",33,40,5304913
"Agar Tum Saath Ho (From ""Tamasha"")",T-Series,4,336,3704179
Ahista Ahista,Universal Music India Pvt Ltd.,173,11,2608648
Ajab Si,T-Series,24,200,2849450
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",T-Series,2,82,2326509
Alag Aasmaan,Universal Music India Pvt. Ltd. (on behalf of Anuv Jain),30,73,1294130
"All The Stars (with SZA) - From ""Black Panther: The Album""",Black Panther (TDE/DMG) PS,135,22,1588477
Ami Je Tomar 3.0,T-Series,47,9,1398168
"Angaaron (From ""Pushpa 2 The Rule"") [HINDI]",T-Series,37,11,1322802
Apna Bana Le,Zee Music Company,1,124,5094843
Arz Kiya Hai | Coke Studio Bharat,Universal Music India Pvt Ltd.,170,11,5819211
Asal Mein,Indie Music Label,21,195,1482675
At Peace,WM Canada,17,19,3380835
Aur Mohabbat Kitni Karoon,T-Series,153,3,1457008
Aura,SHUBH,146,23,2087687
Ayudha Pooja [TELUGU],T-Series,50,15,1297230
